lon,lat
125.300028,37.801222
125.228722,37.814139
125.306222,37.874972
125.237528,37.949528
125.174944,37.869583
124.97625,37.930833
125.155,37.957889
125.112917,38.051639
125.2425,38.017889
125.26,38.085417
124.652028,38.128333
124.8675,38.239611
124.881694,38.229583
124.855417,38.339139
125.01125,38.493278
124.960833,38.592917
125.073278,38.544556
125.121667,38.676194
125.310028,38.629556
125.435833,38.717056
125.603722,38.649139
125.447472,38.772083
125.279167,38.69625
125.126222,38.876667
125.454556,39.32
125.397139,39.382528
125.494556,39.409139
125.369139,39.377083
125.335389,39.457444
125.610028,39.621222
125.454194,39.582861
125.559194,39.665389
125.285,39.527917
125.235833,39.634583
125.143306,39.566194
124.753333,39.77625
124.752056,39.644972
124.640056,39.587056
124.57325,39.828778
124.406667,39.802944
124.312917,39.904139
124.358694,39.992028
124.224222,39.789556
124.254139,39.93125
123.994139,39.813722
123.820833,39.86875
123.696667,39.828778
123.625806,39.935417
123.553306,39.757056
123.520806,39.802056
123.413333,39.73125
123.410833,39.806278
123.284139,39.827083
123.203694,39.73
123.274111,39.694611
122.963306,39.670417
122.575806,39.462917
122.525806,39.542028
122.505833,39.419583
122.381694,39.436194
122.067028,39.194139
122.166222,39.151611
122.026667,39.129556
122.0625,39.059583
121.829139,39.042056
121.896667,38.96125
121.703278,39.055361
121.748333,39.007917
121.657444,39.023722
121.583722,38.939972
121.696583,38.861222
121.231667,38.801222
121.139194,38.724528
121.166222,38.886667
121.099194,38.927861
121.342472,38.97375
121.374167,39.05875
121.459139,39.014583
121.658333,39.08125
121.592917,39.269972
121.942889,39.403333
121.523333,39.362083
121.460833,39.44875
121.401639,39.358694
121.319583,39.375806
121.381611,39.441278
121.248722,39.385
121.333333,39.487917
121.469944,39.450417
121.442028,39.510806
121.549556,39.54
121.474944,39.804556
121.896528,39.999167
121.82625,40.023333
122.277917,40.465
122.137889,40.6125
122.169899,40.681174
122.236149,40.697424
122.117472,40.677889
121.852083,40.824139
121.884111,41.048722
121.749139,40.840389
121.59,40.832889
121.340861,40.949528
120.973306,40.830361
120.927889,40.729167
121.027056,40.713333
120.834111,40.67625
120.529194,40.412917
120.587889,40.361639
120.4475,40.193722
119.565833,39.91625
119.526667,39.808694
119.394111,39.793722
119.233694,39.581667
119.298778,39.395833
119.005,39.197083
118.794972,39.127917
118.569194,39.154583
118.335806,39.005389
118.041639,39.207056
117.717889,39.105833
117.782083,38.987472
117.633722,38.875806
117.545389,38.632472
117.691194,38.389139
118.035778,38.132056
118.386667,38.14625
118.546611,38.06625
118.581639,38.14625
118.839944,38.213722
118.815417,37.977472
118.941639,38.06125
119.032861,37.871667
118.958722,37.789139
119.085389,37.726639
118.903722,37.355806
119.185028,37.142056
119.737417,37.139556
119.905361,37.269167
119.838389,37.372056
120.29875,37.589972
120.321222,37.658306
120.222472,37.687889
120.741667,37.832889
120.934139,37.82125
121.289111,37.542917
121.343333,37.630389
121.429139,37.599556
121.369556,37.554167
121.555806,37.427944
121.975806,37.427917
122.121639,37.563722
122.170806,37.428778
122.699556,37.407472
122.55375,37.349167
122.622861,37.194167
122.460806,37.102083
122.456611,37.147111
122.389583,37.027472
122.572472,37.04375
122.516667,36.897028
122.518361,36.959556
122.409167,36.945444
122.439583,36.875
122.3425,36.830389
122.180833,36.845389
122.275444,36.895806
122.147083,36.939944
122.223278,37.038694
122.043361,36.892917
121.969167,37.024583
121.907889,37.001639
121.959972,36.942028
121.625833,36.826222
121.644917,36.735389
121.478722,36.779167
121.608306,36.849611
121.485833,36.793722
121.450778,36.862889
121.473694,36.77
121.3775,36.702889
121.1825,36.709583
121.018306,36.581278
120.8975,36.659583
120.7775,36.627917
120.787472,36.567056
120.849222,36.60875
120.978722,36.538333
120.883333,36.374583
120.835806,36.467083
120.70625,36.4425
120.734556,36.333333
120.639556,36.316611
120.714194,36.133778
120.336694,36.042917
120.324194,36.27375
120.305028,36.186194
120.126667,36.20375
120.094611,36.106667
120.236278,36.057472
120.177111,35.980833
120.287472,36.017028
120.297889,35.969972
120.066611,35.884556
120.013278,35.722083
119.915778,35.759528
119.872472,35.612917
119.827556,35.672083
119.761667,35.58375
119.736611,35.647111
119.629083,35.612056
119.370389,35.105806
119.201194,35.005
119.184139,34.690417
119.227472,34.77625
119.454111,34.740389
119.645,34.517917
119.790833,34.498694
119.788333,34.423694
119.946611,34.452056
120.284611,34.303306
120.402889,33.843306
120.47375,33.816611
120.434583,33.750778
120.474972,33.797917
120.627917,33.488306
120.593722,33.367472
120.937083,32.868361
120.836222,32.795
120.931222,32.696639
120.850417,32.616639
121.354944,32.404556
121.427083,32.114167
121.724944,32.03125
121.910444,31.736639
121.820806,31.684556
121.303278,31.883722
121.099139,31.857083
121.099139,31.795389
120.943306,31.812917
120.83875,32.035
120.740389,32.039972
